Каковы были последствия вашего обращения в полицию?,0
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы)",36
Судьба вашего заявления неизвестна,33
"Велось следствие, Виновные были найдены и наказаны",7
"Судьба вашего заявления неизвестна, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы)",7
Велось следствие,4
"Виновные были найдены и наказаны, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы)",3
Пришла отписка об прекращении поиска подозреваемых,1
Отказ в возбуждении уголовного дела,1
Отказ в возбуждении уголовного дела ,1
Отменили заявление,1
Полиция свернула дело за неимением улик,1
"""По результатам проверки нарушений действующего уголовного и административного законодательства РФ относящихся к компетенции сотрудников полиции выявлено не было.""",1
Пришла отписка с отказов в возбуждении уголовного дела,1
Никакой помощи со стороны полиции,1
Проведена профилактическая беседа с виновным.,1
"Сказали терпеть, и заявление больше связано с обычным домашним насилием, не связанным с ЛГБТ ",1
"Судьба вашего заявления неизвестна, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Я постоянно получаю отказы в возбуждении уголовных дел по своим жалобам! Судьба многих моих жалоб неизвестна! Из-за ковидных и антитеррористических ограничений у меня нет доступа в помещение суда и полиции для того, чтобы подать иск в суд, жалобу или сделать фотокопии материалов отказных дел!",1
"Отказ в возбуждении дела, мотив ненависти вообще не включили в заяву.",1
Дело так и не открыли,1
Заявление не приняли. Зарегистрировали как обращение . Делать что-то отказались,1
"Заявление было подано менее двух недель назад, пока ещё неизвестно чем кончится ",1
"Дело не открыли, ничего сделано не было",1
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Сказали ""вы взрослая девочка - терпите""",1
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Просто высказывание",1
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Полиция меня просто посадила в машину и довезла до дома, так как этих ублюдков не к чему было привлекать - не убили, не избили",1
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Отказались что либо делать, угрожали притянуть пропаганду и сказать что я пыталась дать взятку.",1
"Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Глупые вопросы пишите ну камон у нас даже в зк.РФ. Нет прав для секс.меньшинств и еще глупее вопросов не нашлось?",1
Виновные не понесли никакой отвецтвенности,1
"Велось следствие, Судьба вашего заявления неизвестна, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы)",1
"Велось следствие, Судьба вашего заявления неизвестна",1
"Велось следствие, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы)",1
"Велось следствие, Виновные были найдены и наказаны, Вы столкнулись с давлением со стороны полиции (насмешки, оскорбления, угрозы), Угроз не было, но не приятные шутки были, некоторые сотрудники вели себя полностью компетентно, спрашивали как ко мне лучше обращаться ",1
"Судьба вашего заявления неизвестна, Мне пришёл ответ о том, что заявление будет рассмотрено",1
